scope	reference_mic	metric	comparability	rows	non_null	missing	mean	std	q00	q01	q05	q10	q25	q50	q75	q90	q95	q99	q100
GLOBAL		available_sessions	cross_market	970	970	0	647.4814432989691	301.13686235997704	12.0	193.21	509.0	509.0	509.0	509.0	509.0	1270.0	1270.0	1270.0	1270.0
GLOBAL		momentum_1m	cross_market	970	969	1	-0.014906671963998953	0.2506661326816591	-0.5014577259475219	-0.2481225945206378	-0.1516325383650678	-0.11909784699385738	-0.0735068912710565	-0.0260869565217392	0.0105421686746987	0.06384897352603204	0.12262385321100894	0.42450777202072415	6.991994532373396
GLOBAL		momentum_3m	cross_market	970	968	2	0.0019061326495672238	0.3074432630976598	-0.999586776859504	-0.4943059490084985	-0.26048699321385066	-0.19117479470420645	-0.10119834346638468	-0.01400870877908145	0.06681359505521987	0.17672033802383758	0.27772269436575386	0.7217354385964938	6.89906627588987
GLOBAL		momentum_6m	cross_market	970	963	7	0.041802924735876504	0.33683505623551013	-0.9996396396396396	-0.6425314020226202	-0.3411082819619405	-0.24112940269137634	-0.11040407205288436	0.0045011252813202	0.1460907038785143	0.33369642037325975	0.49314686141333686	1.0276493154541935	4.831070535399513
GLOBAL		volatility_60d_annualized	cross_market	970	968	2	0.3626747161240911	0.407143317432166	0.0	0.0	0.12662411791899336	0.15464516252907723	0.2094996593803155	0.28499685812603504	0.4016327745308596	0.5906964525303067	0.7589498992143214	1.5477051816394292	9.001605941415452
GLOBAL		current_drawdown_252d	cross_market	970	956	14	-0.2114746455736312	0.18632303999032188	-0.9996396396396396	-0.8963717102219403	-0.5778616531358306	-0.46686507936507937	-0.29392907933695467	-0.1585455017989046	-0.07388124898213799	-0.02859303466317855	-0.010034559045918375	0.0	0.0
GLOBAL		max_drawdown_252d	cross_market	970	956	14	-0.2933970503146999	0.17521991678683768	-0.9996396396396396	-0.9056075535842341	-0.6312310449407224	-0.5308057456629	-0.37577126703487046	-0.25323352460069365	-0.170894261625886	-0.12312716842928506	-0.0949999999999999	0.0	0.0
MIC	MTAA	available_sessions	cross_market	200	200	0	1213.69	158.882795207868	45.0	521.61	947.95	1111.2	1245.75	1270.0	1270.0	1270.0	1270.0	1270.0	1270.0
MIC	MTAA	momentum_1m	cross_market	200	200	0	-0.027292483687952836	0.08775522270821223	-0.2656716417910448	-0.2036182971756037	-0.1500131810193321	-0.11339228317501977	-0.07089926393083992	-0.03139849358002215	0.003191625918695125	0.05011182108626198	0.11029219805486916	0.23720183548107174	0.6339869281045754
MIC	MTAA	momentum_3m	cross_market	200	199	1	-0.028745151944100614	0.19942231492062543	-0.7340909090909091	-0.4080413022648971	-0.2492736362846899	-0.19838574827963212	-0.12133637476354735	-0.0412147505422993	0.03806151148970955	0.1380252337501408	0.19922454796143102	0.4645545289939182	1.6666666666666663
MIC	MTAA	momentum_6m	cross_market	200	199	1	0.08378374975505808	0.3463246044838821	-0.8546583850931677	-0.6841944290721269	-0.29472145122918314	-0.20941968040370046	-0.0836547730272426	0.0322085889570553	0.20536794531312805	0.4177159674534018	0.6139708421254555	1.0784022622835039	2.3136966126656846
MIC	MTAA	volatility_60d_annualized	cross_market	200	199	1	0.34166217496337103	0.2465214248017432	0.0195947552760939	0.0779997341573193	0.1462900086381253	0.1812238302398003	0.22091275775923125	0.2819539031279008	0.36905552150201837	0.49522344126105067	0.7062896164119606	1.516881341531485	1.9575932933728293
MIC	MTAA	current_drawdown_252d	cross_market	200	199	1	-0.2239663138564695	0.19121130681048246	-0.9683339330694496	-0.9057398018273066	-0.5885478365315239	-0.44670260475156054	-0.30426473364291917	-0.167032967032967	-0.08569221967963381	-0.035099719579631435	-0.025468017793001674	-0.006468646864686302	0.0
MIC	MTAA	max_drawdown_252d	cross_market	200	199	1	-0.3086452759249173	0.17796540805083663	-0.9877653832313782	-0.9329253932272851	-0.6743074691947863	-0.5150970405883707	-0.370850201345157	-0.269090909090909	-0.19014403829416876	-0.13984928672628724	-0.11476397116223543	-0.08432473280794517	-0.0152547427374724
MIC	MTAA	median_shares_20d	within_mic_diagnostic_only	200	200	0	1389825.5244999998	5192420.603346848	105.0	289.66	1744.2500000000002	2780.3500000000004	13518.5	90271.75	434240.75	2808461.949999998	6446620.874999993	34027943.65999998	47508377.0
MIC	MTAA	median_trades_20d	within_mic_diagnostic_only	200	200	0	1134.515	2567.212377606042	1.0	1.995	5.0	8.450000000000001	42.5	245.5	770.25	2684.8999999999996	6191.799999999984	12264.02499999999	19561.0
MIC	MTAA	median_turnover_20d	within_mic_diagnostic_only	200	200	0	12730281.613923125	37814261.8829494	244.73	911.71045	2248.5185000000006	4851.122	46391.015	487543.4925	4053398.26	25955138.3295	76289761.1870623	187040722.00984946	275993577.93
MIC	MTAA	median_vwap_20d	within_mic_diagnostic_only	200	200	0	16.520657415000002	32.419099825945686	0.0078605	0.018077375	0.1303419	0.50527865	1.8940100000000002	6.0717187500000005	19.16294125	42.60159984999999	63.533780399999955	120.89960535999998	357.1057545
MIC	XAMS	available_sessions	cross_market	117	117	0	493.8034188034188	67.72577048813119	109.0	149.04	437.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0	509.0
MIC	XAMS	momentum_1m	cross_market	117	117	0	-0.02649178404067474	0.08657876045678677	-0.3154172560113154	-0.24051582918752992	-0.16115342131271432	-0.12591511154981103	-0.0594685786587937	-0.0172576090367116	0.0134709085697908	0.03900740823260735	0.07887263707125111	0.2079937666245738	0.4375
MIC	XAMS	momentum_3m	cross_market	117	117	0	-0.0011445699679048665	0.17070900034546574	-0.4444444444444444	-0.4257315278438026	-0.291995730784277	-0.20300641673916597	-0.0839071665391482	0.0	0.0743801652892561	0.1594853480661428	0.2786324786324785	0.4242370069409176	0.796875
MIC	XAMS	momentum_6m	cross_market	117	116	1	0.04514737804799869	0.2432860124219642	-0.4497557571528262	-0.4140457445604504	-0.2643968253968254	-0.2178088854538671	-0.10969894222945467	0.009837141258981899	0.1666568543695027	0.30958083740690984	0.4398490677260451	0.7958784225832721	1.2593320235756384
MIC	XAMS	volatility_60d_annualized	cross_market	117	117	0	0.30881732968865455	0.19539940953622162	0.0	0.0	0.0	0.12262715162326576	0.1878164279686376	0.2703892422124284	0.4193860827377351	0.5579323112412007	0.596673484596842	0.800952517482863	1.249492677357302
MIC	XAMS	current_drawdown_252d	cross_market	117	113	4	-0.17979071737787622	0.16133680277412124	-0.6383928571428572	-0.6139062424935385	-0.48218616896243716	-0.42235757013863984	-0.2813620071684588	-0.1361111111111111	-0.0509554140127389	-0.007249373433583901	0.0	0.0	0.0
MIC	XAMS	max_drawdown_252d	cross_market	117	113	4	-0.25883268234149376	0.15551971590743105	-0.6741071428571429	-0.6154064263395981	-0.5430972388955582	-0.49614840159119483	-0.3379310344827586	-0.2405660377358489	-0.1622047244094487	-0.07538474476494823	0.0	0.0	0.0
