trading_line_id	security_id	ticker	display_name	reference_mic	provider	provider_mic	adjustment_basis	as_of_date	available_sessions	as_of_age_days	has_1m	has_3m	has_6m	has_volatility_60d	has_drawdown_252d	has_liquidity_20d	flag_stale_gt_7d	flag_stale_gt_30d	flag_missing_1m	flag_missing_3m	flag_missing_6m	flag_missing_vol60	flag_missing_dd252	flag_missing_liq20	any_quality_flag	flag_no_history
IT0005122400-MTAA	IT0005122400	OEC	OPS ECOM	MTAA	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2026-07-28	1219.0	48	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False
IT0005545675-MTAA	IT0005545675	OPR	OPS RETAIL	MTAA	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2026-04-24	1114.0	143	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False
IT0005577868-MTAA	IT0005577868	OPS	OPS ITALIA	MTAA	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2026-04-30	1164.0	137	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False
IT0005611642-MTAA	IT0005611642	BES	BESTBE HOLDING	MTAA	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2025-11-25	1051.0	293	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False
IT0005713232-MTAA	IT0005713232	OROX	GENS AUREA	MTAA	borsa_italiana_chart_api	XMIL	corporate_action_adjusted	2026-09-14	45.0	0	True	False	False	False	False	True	False	False	False	True	True	True	True	False	True	False
CZ0009008942-XAMS	CZ0009008942	COLT	COLT CZ GROUP	XAMS	euronext_full_download_csv	XAMS	provider_default	2026-09-14	109.0	0	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	False
NL0015002MS2-XAMS	NL0015002MS2	MICC	THE MAGNUM ICE CREAM COMPANY N.V.	XAMS	euronext_full_download_csv	XAMS	provider_default	2026-09-14	196.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
NL0015073TS8-XAMS	NL0015073TS8	CSG	CSG N.V.	XAMS	euronext_full_download_csv	XAMS	provider_default	2026-09-14	165.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
SGXPZ11CH7U7-XAMS	SGXPZ11CH7U7	SWICH	SWI CAPITAL HOLDING	XAMS	euronext_full_download_csv	XAMS	provider_default	2026-09-14	146.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
BE0974501331-XBRU	BE0974501331	MTLS	MATERIALISE NV	XBRU	euronext_full_download_csv	XBRU	provider_default	2026-09-14	208.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
NL0006294274-XLIS	NL0006294274	ENXP	EURONEXT	XLIS	euronext_full_download_csv	XLIS	provider_default	2025-09-25	262.0	354	True	True	True	True	True	True	True	True	False	False	False	False	False	False	True	False
IE000HBCCM49-XMSM	IE000HBCCM49	GDL	GDL MANAGEMENT GROUP PLC	XMSM	euronext_full_download_csv	XMSM	provider_default	2026-09-14	12.0	0	False	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False
BMG1466R1732-XOSL	BMG1466R1732	BORR	BORR DRILLING LIMITED	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	187.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
NO0013683821-XOSL	NO0013683821	APR	APPEAR ASA	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	218.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
NO0013697029-XOSL	NO0013697029	KMAR	KONGSBERG MARITIME ASA	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	103.0	0	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	False
NO0013713115-XOSL	NO0013713115	GENO	GENERAL OCEANS ASA	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	121.0	0	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	False
NO0013753343-XOSL	NO0013753343	BOHUS	BOHUS ASA	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	64.0	0	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	False
NO0013755728-XOSL	NO0013755728	DELIA	DELLIA GROUP	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	246.0	0	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	False
SE0028799411-XOSL	SE0028799411	PUBLI	PPI PUBLIC PROPERTY INVEST AB (PUBL)	XOSL	euronext_full_download_csv	XOSL	provider_default	2026-09-14	84.0	0	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	False
BMG455841020-XAMS	BMG455841020	HAL	HAL TRUST	XAMS	euronext_full_download_csv	XAMS	provider_default		0.0		False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True
